Year,Content Licensing,General Terms,Legal Threat,Legitimate Portability,Price Discrimination,Privacy/Security,Regulatory Compliance,Security Risk,Technical Blocking,User Workaround
2016,3.418803418803419,86.32478632478633,2.564102564102564,0.0,0.0,0.0,3.418803418803419,0.0,4.273504273504273,0.0
2017,3.418803418803419,86.32478632478633,2.564102564102564,0.0,0.0,0.0,3.418803418803419,0.0,4.273504273504273,0.0
2018,3.8461538461538463,86.53846153846155,1.9230769230769231,0.0,0.641025641025641,0.0,4.487179487179487,0.0,2.564102564102564,0.0
2019,5.591677503250976,90.24707412223667,1.1703511053315996,0.0,0.3901170351105332,0.0,2.340702210663199,0.0,0.13003901170351106,0.13003901170351106
2020,1.8906942392909896,95.45051698670606,0.3545051698670606,0.0,0.4726735598227474,0.0,1.4771048744460855,0.29542097488921715,0.059084194977843424,0.0
2021,1.7432208079690092,95.35141117874932,0.1936912008854455,0.0,0.6917542888765911,0.05534034311012728,1.8262313226342002,0.11068068622025456,0.02767017155506364,0.0
2022,2.0417967811674274,94.78741292337257,0.3122748018256065,0.0,0.4804227720393947,0.09608455440787893,1.7295219793418206,0.24021138601969735,0.3122748018256065,0.0
2023,2.1245573838783587,93.52218287856697,0.5207248489897938,0.0416579879191835,0.24994792751510103,0.22911893355550927,2.353676317433868,0.0416579879191835,0.9164757342220371,0.0
2024,1.8919984233346472,94.14662987780844,0.4532912889239259,0.0,0.650374458021285,0.039416633819471816,2.148206543161214,0.1970831690973591,0.4729996058336618,0.0
2025,2.7439024390243905,92.76607538802661,0.7760532150776054,0.0,0.3880266075388027,0.22172949002217296,2.4390243902439024,0.24944567627494454,0.41574279379157425,0.0
